RANK,NAME,TICKER,INDUSTRIES,Country,EMPLOYEES,Glassdoor Rating,City,1 year stock performance,return on equity,Analyst Recommendation Mean,Operating Income,Operating income per employee,MSCI SECTOR,Sector perf,RELATIVE STOCK PERF,,,,,,,,,
1,Samsung Electronics,005930.KS,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",South Kore,266673,3.8,Suwon,-22.34,13.29,1.8,9.09439E+13,341031566,MSCI World Semiconductors and Semiconductor Equipment É,-36.44,14.1,,,,,,,,,
2,Microsoft,MSFT,"IT, Internet, Software & Services",United States,221000,4.4,Redmond,-22.65,42.88,1.8,98841001984,447244,MSCI World Information Technology Index,-30.79,8.14,,,,,,,,,
3,IBM,IBM,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",United States,250000,4.2,Armonk,7.79,6.48,2.5,12010000384,48040,MSCI World Semiconductors and Semiconductor Equipment É,-36.44,44.23,,,,,,,FORBES SECTOR,,
4,Alphabet,GOOG,"IT, Internet, Software & Services",United States,156500,4.5,Mountain View,-33.69,26.89,1.5,93733003264,598932,MSCI World Information Technology Index,-30.79,-2.9,,,,,,,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",MSCI World Semiconductors and Semiconductor Equipment É,-36.44
5,Apple,AAPL,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",United States,154000,4.1,Cupertino,-22.48,175.46,2,1.30541E+11,847668,MSCI World Semiconductors and Semiconductor Equipment É,-36.44,13.96,,,,,,,"IT, Internet, Software & Services",MSCI World Information Technology Index,-30.79
6,Delta Air Lines,DAL,Transportation and Logistics,United States,80000,4.2,Atlanta,-7.93,2.25,1.7,4472000000,55900,MSCI World Transportation Index,-17.06,9.13,,,,,,,Transportation and Logistics,MSCI World Transportation Index,-17.06
7,Costco Wholesale,COST,Retail and Wholesale,United States,288000,4,Issaquah,-6.3,29.32,2.1,9648000000,33500,MSCI World Food & Staples Retailing Index,-11.53,5.23,,,,,,,Retail and Wholesale,MSCI World Food & Staples Retailing Index,-11.53
8,Adobe,ADBE,"IT, Internet, Software & Services",United States,25988,4.4,San Jose,-33.66,32.97,2.3,6952666624,267533,MSCI World Information Technology Index,-30.79,-2.87,,,,,,,"Clothing, Shoes, Sports Equipment",MSCI World Consumer Durables & Apparel,-26.29
9,Southwest Airlines,LUV,Transportation and Logistics,United States,55093,4.4,Dallas,-21.45,7.81,2.1,2719000064,49352,MSCI World Transportation Index,-17.06,-4.39,,,,,,,Automotive (Automotive and Suppliers),MSCI World Automobiles Index,-48.96
10,Dell Technologies,DELL,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",United States,133000,4.3,Round Rock,-32.24,33.01,2.1,9059999744,68120,MSCI World Semiconductors and Semiconductor Equipment É,-36.44,4.2,,,,,,,Drugs & Biotechnology,"MSCI World Pharmaceuticals, Biotechnology and Life Sciences Index",-0.61
11,Lockheed Martin,LMT,Aerospace & Defense,United States,114000,4.1,Bethesda,26.79,54.35,2.7,8622999552,75640,MSCI World Aerospace and Defense Index,12.86,13.93,,,,,,,"Engineering, Manufacturing",MSCI World Industrials Index,-13.2
12,Cisco Systems,CSCO,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",United States,79500,4.3,San Jose,-19.98,27.73,2.5,15861999616,199522,MSCI World Semiconductors and Semiconductor Equipment É,-36.44,16.46,,,,,,,Conglomerate,MSCI World Index,-17.73
